"","MAT","MAP","MAT_bin","MAP_bin","MAT_MAP_bin"
"1",15.9,1009,"2","1","MAT2_MAP1"
"2",16.2,1000,"2","1","MAT2_MAP1"
"3",16,1006,"2","1","MAT2_MAP1"
"4",16.1,1004,"2","1","MAT2_MAP1"
"5",16.6,1031,"2","1","MAT2_MAP1"
"6",16.6,1034,"2","1","MAT2_MAP1"
"7",16.2,1013,"2","1","MAT2_MAP1"
"8",15.9,1018,"2","1","MAT2_MAP1"
"9",16.2,1016,"2","1","MAT2_MAP1"
"10",16.5,1040,"2","1","MAT2_MAP1"
"11",16.1,1020,"2","1","MAT2_MAP1"
"12",16.3,1020,"2","1","MAT2_MAP1"
"13",16.2,1028,"2","1","MAT2_MAP1"
"14",16,1032,"2","1","MAT2_MAP1"
"15",16.1,1024,"2","1","MAT2_MAP1"
"16",16.3,1037,"2","1","MAT2_MAP1"
"17",16.4,1033,"2","1","MAT2_MAP1"
"18",16.2,1036,"2","1","MAT2_MAP1"
"19",16.6,1047,"2","1","MAT2_MAP1"
"20",16.5,1060,"2","1","MAT2_MAP1"
"21",16.5,1045,"2","1","MAT2_MAP1"
"22",17.1,1064,"2","1","MAT2_MAP1"
"23",16.6,1056,"2","1","MAT2_MAP1"
"24",16.1,1033,"2","1","MAT2_MAP1"
"25",16,1047,"2","1","MAT2_MAP1"
"26",16.6,1051,"2","1","MAT2_MAP1"
"27",16,1044,"2","1","MAT2_MAP1"
"28",16,1058,"2","1","MAT2_MAP1"
"29",16.6,1070,"2","1","MAT2_MAP1"
"30",16.1,1068,"2","1","MAT2_MAP1"
"31",16.2,1058,"2","1","MAT2_MAP1"
"32",16.5,1055,"2","1","MAT2_MAP1"
"33",16.5,1063,"2","1","MAT2_MAP1"
"34",16.6,1073,"2","1","MAT2_MAP1"
"35",17,1083,"2","1","MAT2_MAP1"
"36",16.4,1055,"2","1","MAT2_MAP1"
"37",16.1,1047,"2","1","MAT2_MAP1"
"38",15.8,1071,"1","1","MAT1_MAP1"
"39",17,1080,"2","1","MAT2_MAP1"
"40",16,1072,"2","1","MAT2_MAP1"
"41",16.2,1065,"2","1","MAT2_MAP1"
"42",16.3,1067,"2","1","MAT2_MAP1"
"43",16.2,1071,"2","1","MAT2_MAP1"
"44",16.4,1075,"2","1","MAT2_MAP1"
"45",16.5,1076,"2","1","MAT2_MAP1"
"46",16,1062,"2","1","MAT2_MAP1"
"47",16,1079,"2","1","MAT2_MAP1"
"48",16.2,1082,"2","1","MAT2_MAP1"
"49",16,1069,"2","1","MAT2_MAP1"
"50",16.3,1079,"2","1","MAT2_MAP1"
"51",16.2,1081,"2","1","MAT2_MAP1"
"52",16.7,1096,"2","1","MAT2_MAP1"
"53",16.7,1094,"2","1","MAT2_MAP1"
"54",16.5,1071,"2","1","MAT2_MAP1"
"55",16.2,1077,"2","1","MAT2_MAP1"
"56",15.9,1091,"2","1","MAT2_MAP1"
"57",16.2,1091,"2","1","MAT2_MAP1"
"58",15.9,1081,"2","1","MAT2_MAP1"
"59",16.4,1086,"2","1","MAT2_MAP1"
"60",16.1,1053,"2","1","MAT2_MAP1"
"61",16.3,1090,"2","1","MAT2_MAP1"
"62",16.5,1086,"2","1","MAT2_MAP1"
"63",16.6,1088,"2","1","MAT2_MAP1"
"64",16.5,1093,"2","1","MAT2_MAP1"
"65",16.7,1102,"2","1","MAT2_MAP1"
"66",16.6,1106,"2","1","MAT2_MAP1"
"67",16.4,1087,"2","1","MAT2_MAP1"
"68",16.1,1100,"2","1","MAT2_MAP1"
"69",16.3,1094,"2","1","MAT2_MAP1"
"70",16.9,1105,"2","1","MAT2_MAP1"
"71",15.9,1067,"2","1","MAT2_MAP1"
"72",16.1,1093,"2","1","MAT2_MAP1"
"73",16.1,1089,"2","1","MAT2_MAP1"
"74",16.2,1108,"2","1","MAT2_MAP1"
