"","MAT","MAP","MAT_bin","MAP_bin","MAT_MAP_bin"
"1",19.6,1096,"3","1","MAT3_MAP1"
"2",19.6,1111,"3","1","MAT3_MAP1"
"3",19.6,1119,"3","1","MAT3_MAP1"
"4",19.8,1108,"3","1","MAT3_MAP1"
"5",19.6,1121,"3","1","MAT3_MAP1"
"6",19.5,1126,"3","1","MAT3_MAP1"
"7",19.8,1120,"3","1","MAT3_MAP1"
"8",19.6,1126,"3","1","MAT3_MAP1"
"9",19.5,1125,"3","1","MAT3_MAP1"
"10",18.9,1059,"3","1","MAT3_MAP1"
"11",19.6,1139,"3","1","MAT3_MAP1"
"12",18.7,1067,"3","1","MAT3_MAP1"
"13",19.3,1097,"3","1","MAT3_MAP1"
"14",18.9,1071,"3","1","MAT3_MAP1"
"15",19.9,1158,"3","1","MAT3_MAP1"
"16",19.4,1106,"3","1","MAT3_MAP1"
"17",18.8,1073,"3","1","MAT3_MAP1"
"18",16.1,1231,"2","1","MAT2_MAP1"
"19",16,1232,"2","1","MAT2_MAP1"
"20",19.1,1085,"3","1","MAT3_MAP1"
"21",18.7,1061,"3","1","MAT3_MAP1"
"22",18.8,1074,"3","1","MAT3_MAP1"
"23",19.3,1148,"3","1","MAT3_MAP1"
"24",19.4,1179,"3","1","MAT3_MAP1"
"25",19,1067,"3","1","MAT3_MAP1"
"26",19.3,1158,"3","1","MAT3_MAP1"
"27",16.5,1213,"2","1","MAT2_MAP1"
"28",18.8,1086,"3","1","MAT3_MAP1"
"29",19,1074,"3","1","MAT3_MAP1"
"30",19,1098,"3","1","MAT3_MAP1"
"31",18.9,1090,"3","1","MAT3_MAP1"
"32",16.4,1233,"2","1","MAT2_MAP1"
"33",19.1,1112,"3","1","MAT3_MAP1"
"34",19.2,1173,"3","1","MAT3_MAP1"
"35",17.9,1070,"3","1","MAT3_MAP1"
"36",19.2,1208,"3","1","MAT3_MAP1"
"37",16.6,1219,"2","1","MAT2_MAP1"
"38",18.9,1097,"3","1","MAT3_MAP1"
"39",19.7,1216,"3","1","MAT3_MAP1"
"40",18.8,1089,"3","1","MAT3_MAP1"
"41",19,1103,"3","1","MAT3_MAP1"
"42",19,1118,"3","1","MAT3_MAP1"
"43",16.7,1218,"2","1","MAT2_MAP1"
"44",17,1195,"2","1","MAT2_MAP1"
"45",17.8,1076,"3","1","MAT3_MAP1"
"46",15.9,1276,"2","1","MAT2_MAP1"
"47",19.1,1153,"3","1","MAT3_MAP1"
"48",18.8,1090,"3","1","MAT3_MAP1"
"49",18.7,1097,"3","1","MAT3_MAP1"
"50",19.3,1237,"3","1","MAT3_MAP1"
"51",18.9,1126,"3","1","MAT3_MAP1"
"52",16.1,1270,"2","1","MAT2_MAP1"
"53",18.8,1099,"3","1","MAT3_MAP1"
"54",16.4,1252,"2","1","MAT2_MAP1"
"55",18.8,1101,"3","1","MAT3_MAP1"
"56",17.6,1098,"3","1","MAT3_MAP1"
"57",18.9,1118,"3","1","MAT3_MAP1"
"58",17.9,1082,"3","1","MAT3_MAP1"
