"X.1","X","PLT_CN","INVYR.x","FLDTYPCD","ECO_ID","COUNTYCD.x","LON","LAT","STDAGE","AgeGroup","Carbon_Mg_ha","cv_dbh","VPD","Elevation","MAT","MAP","pH_mean","bdod_mean","clay_mean","nitrogen_mean","FDis","PC1.CWM","PC2.CWM","Shade.tolerance.FDis","Drought.tolerance.FDis","WD_mean_add.FDis","LMA.FDis","Nmass.FDis","Pmass.FDis","Leaf.longevity.FDis","Max.height.FDis","Leaf.FDis","Shade.tolerance.CWM","Drought.tolerance.CWM","WD_mean_add.CWM","LMA.CWM","Nmass.CWM","Pmass.CWM","Leaf.longevity.CWM","Max.height.CWM","Leaf.CWM"
1,1,"Plot_00001",2019,"Broadleaf Forest",50804,123,-96.56643,34.825159,60,4,37.620652315963,0.555840387391039,0.871021505,265,15.9,1009,59.6666666666667,151.666666666667,156,345,1.99844127588001,0.0111923412157903,1.06955000888473,0.438564320460532,1.01577156883121,0.730526413981444,0.443958318877907,0.429589665485256,0.6780114118409,0.137960433460639,0.410556582025455,0.555710846982981,2.62222222222222,3.84072222222222,0.5385,0.0811645068119958,18.9359578494067,1.57953854396206,7.84992609949532,27.5,0.1
2,2,"Plot_00002",2015,"Broadleaf Forest",50804,123,-96.564929,34.696872,50,3,15.0089014351818,0.315723398323571,0.881854839,232,16.2,1000,64,154.333333333333,221.666666666667,215.333333333333,2.62567265608451,-0.250157048903236,1.87692974020999,0.664678265666265,0.668351177275403,1.16131521928237,0.939979309338862,0.502504677627133,0.398641951864056,0.295480621833961,0.613097829158012,1.29665864296029,1.95877777777778,4.06677777777778,0.584,0.101044452200136,18.0408262344984,1.85066613941642,9.95593451667306,23.4,0.3
3,3,"Plot_00003",2021,"Broadleaf Forest",50804,123,-96.559384,34.784217,42,3,33.1339363145549,0.484352992959222,0.867688172,270,16,1006,60.3333333333333,150,184,280.333333333333,1.27569265190364,0.10170172649801,1.55291966034914,0.349632918807562,0.391300492972592,0.162549527881579,0.540888037649356,0.264548885648998,0.555631030056757,0.125244767637651,0.414344878053371,0.176263532780069,2.79352941176471,3.90147058823529,0.588529411764706,0.0905930654242062,16.6984992997199,1.41536261457623,8.86163722496968,18.6764705882353,0.0294117647058824
4,4,"Plot_00004",2012,"Broadleaf Forest",50804,123,-96.534319,34.731797,73,5,36.4141119997717,0.731859925153522,0.870134409,237,16.1,1004,59.6666666666667,150,171.666666666667,338,1.70086343355221,0.590873092457303,0.510958218862872,0.304943425855092,0.693253629483172,0.816012912957287,0.452019611742512,0.422400153592971,0.448294507183606,0.0705903277061582,0.737436280140396,4.2273876706881e-16,2.71646723646724,3.32182336182336,0.546923076923077,0.0704467114573134,20.7747746558388,1.87444674391151,6.50548443043134,25.3076923076923,0
5,5,"Plot_00005",2016,"Broadleaf Forest",50804,69,-96.493646,34.260423,50,3,37.6021809362594,0.663896492669685,0.875241935,229,16.6,1031,62.6666666666667,154.333333333333,188.666666666667,188.666666666667,2.02933623114861,0.0629485294079161,1.37839949566867,0.42286244298215,1.01182438031804,0.870474370714299,0.897915374267749,0.312234778243372,0.455113546995177,0.0729525015597467,0.796080487595843,3.72717729695588e-16,2.40571428571429,3.72571428571429,0.551428571428571,0.103678436671265,17.5705981906258,1.60546583896049,7.59595035157068,22.047619047619,0
6,6,"Plot_00006",2017,"Broadleaf Forest",50804,69,-96.478696,34.227724,45,3,17.3034560339469,0.625328814656754,0.879758065,210,16.6,1034,61.6666666666667,152,207.333333333333,230,1.44531756999494,0.103761659185904,1.79065838682461,0.437107045936261,0.636780995473316,0.213942154007229,0.825330462606162,0.202275452381195,0.335585554191394,0.067434276256586,0.527835913223037,1.8612562471657e-16,2.53934640522876,3.97875816993464,0.591764705882353,0.103979792741401,16.8328701559251,1.50526284966576,7.74696349096025,19.4705882352941,0
7,7,"Plot_00007",2018,"Broadleaf Forest",50804,123,-96.477825,34.734532,20,2,12.5244749054355,0.992480255698385,0.873225806,234,16.2,1013,60.3333333333333,151.666666666667,194.333333333333,278.666666666667,1.40562653138545,-0.478302477918387,2.20768452692634,0.565001079278671,0.301027087317867,0.510215019809431,0.502901371555901,0.0748689467853775,0.378420336553903,0.132517162372071,0.335148230224861,0.756069179568682,2.39428571428571,4.30714285714286,0.572857142857143,0.122515001023718,15.6679149659864,1.28971428571429,10.4326432404462,17.1428571428571,0.142857142857143
8,8,"Plot_00008",2013,"Broadleaf Forest",50804,123,-96.472146,34.854896,65,4,20.0187710136346,0.369067838252394,0.870913978,265,15.9,1018,58.6666666666667,152.666666666667,149,355.666666666667,2.05767281802267,-1.67379668358651,2.07445348347469,0.581554205499622,0.263504679797519,0.982273541876668,0.435294258623924,0.167917466537906,0.171873024968717,0.299785912713882,0.500055075684983,1.41010826224055,1.69294117647059,4.47941176470588,0.496470588235294,0.135840902331601,15.5805644257703,1.6848072330468,14.2944908605115,25.7647058823529,0.647058823529412
9,9,"Plot_00009",2020,"Broadleaf Forest",50804,123,-96.46455,34.686271,74,5,27.3636656221792,0.691346928945219,0.875053763,231,16.2,1016,60,155.666666666667,196.666666666667,175.333333333333,1.65313054247045,-0.00400471430566757,1.88728860770896,0.405070436598506,0.660016797693366,0.392033494163609,0.930277181533357,0.314357046884461,0.343427810068375,0.100997761001685,0.452372530194714,0.471668157161481,2.32916666666667,4.08583333333333,0.5825,0.108970612779535,17.2189068259958,1.63750273597523,8.06759192501803,19.25,0.0833333333333333
10,10,"Plot_00010",2014,"Broadleaf Forest",50804,69,-96.437967,34.259625,68,4,39.8609418159213,0.732936659123456,0.869623656,221,16.5,1040,60,152,208.333333333333,263,1.63224134889487,0.172175060977114,1.31716671795434,0.400254694487006,0.745638234064343,0.34788854608132,0.747179587997445,0.349848391194811,0.316234804137029,0.131925326570748,0.515208259796649,0.341844427209831,2.58437908496732,3.58673202614379,0.59,0.0877275489532268,18.0046564218346,1.55373543992021,7.78371997207226,23,0.0588235294117647
11,11,"Plot_00011",2015,"Broadleaf Forest",50804,63,-96.39826,34.802302,37,3,11.156171330265,0.593774946124014,0.869274194,220,16.1,1020,60.6666666666667,149.333333333333,176.666666666667,402,2.43168730881463,0.00665896397988649,0.865159034835064,0.791310136084691,0.718766833168508,1.16250998802649,0.853852183887131,0.586103874972869,0.405450675719264,0.224829406120871,0.558762439536866,0.98793039463641,2.51059259259259,3.75792592592593,0.527333333333333,0.0844721079982206,19.4185399301215,1.97716253848711,8.83168185219513,24.8666666666667,0.2
12,12,"Plot_00012",2018,"Broadleaf Forest",50804,29,-96.396426,34.633536,44,3,30.7670199337518,0.520711568186081,0.874650538,195,16.3,1020,60,151.333333333333,190,298.333333333333,1.31654073211471,0.204455095534809,2.08460165722101,0.428178932484059,0.443399157641934,0.234805246239791,0.852039134473823,0.232484405606106,0.447436437300652,0.0541281073079997,0.329458985575982,1.57281595155231e-16,2.37777777777778,4.21,0.602777777777778,0.110809555592349,17.0489952675286,1.6650126493431,7.21943666879466,17.5,0
13,13,"Plot_00013",2018,"Broadleaf Forest",50804,29,-96.377438,34.709194,67,4,64.1702380915858,0.563599467694314,0.867365591,240,16.2,1028,60,152,182.666666666667,324.666666666667,1.0695468284986,-0.00428957477226517,2.1785775239447,0.340297499673304,0.637777747345711,0.0946476773554131,0.556730251826408,0.216101526679335,0.0696114312158429,0.0446103807696398,0.407324377784202,1.51530439847488e-16,2.36660660660661,4.13147147147147,0.601621621621622,0.123996947071788,16.858793987583,1.46712715987383,7.60405935711259,17.6756756756757,0
14,14,"Plot_00014",2012,"Broadleaf Forest",50804,63,-96.361964,34.831271,35,3,18.6804703802282,0.578043590940103,0.868225806,259,16,1032,59.6666666666667,149.666666666667,175,337.333333333333,1.08454111012375,-0.172190533000628,2.27994786988177,0.330789039923319,0.446323527732686,0.181336202879398,0.519459519140879,0.131403444286975,0.213095409641901,0.081477024780911,0.453474725708589,0.228349296097543,2.33064102564103,4.24871794871795,0.594230769230769,0.124091596014172,16.3617441272278,1.3768004814206,8.42473363361218,18.0769230769231,0.0384615384615385
15,15,"Plot_00015",2016,"Broadleaf Forest",50804,63,-96.344765,34.911227,70,4,25.9447336077639,0.554032630693043,0.865994624,235,16.1,1024,60.6666666666667,150.333333333333,190,413.666666666667,2.00078327976914,-0.0766500902779586,1.14181657107586,0.515602094459357,0.760941905756864,0.723498850604586,0.711685930557909,0.47886459527549,0.330640800588691,0.207894353980315,0.574441308183764,0.857578467566328,2.39236625514403,3.5767695473251,0.548888888888889,0.0990858888264514,18.9519283741417,1.71458482620997,9.41419552067424,22.3333333333333,0.166666666666667
16,16,"Plot_00016",2020,"Broadleaf Forest",50804,29,-96.34031,34.551405,70,4,56.2988911027607,0.363141269274994,0.868763441,206,16.3,1037,61.6666666666667,151.666666666667,196.666666666667,375.666666666667,1.77883513193734,-0.193768236427497,1.81827683771754,0.586239700824041,0.473554111815662,0.779586605536776,0.770263990594909,0.270549538965939,0.495464139079465,0.136741571710001,0.527793294892724,0.555710846982981,2.439,4.2045,0.56,0.114320238875313,16.8276678308823,1.62680318393902,8.58675522788275,19.45,0.1
17,17,"Plot_00017",2017,"Broadleaf Forest",50804,29,-96.334095,34.498814,62,4,12.758162921616,0.270538262948235,0.876021505,193,16.4,1033,61.6666666666667,150.666666666667,198,397,1.01619326815646,-0.0618224467154589,1.9776295839243,0.398523771412819,0.413471349592349,0.139978823275325,0.483330803723919,0.173828377309718,0.325159444239466,0.0862485157348912,0.296917975166338,2.26314693481282e-16,2.63606837606838,4.02991452991453,0.595384615384615,0.11132984056802,16.3084395278795,1.21924639978102,9.06655080233011,16.9230769230769,0
