"X","PLT_CN","INVYR.x","FLDTYPCD","ECO_ID","COUNTYCD.x","LON","LAT","STDAGE","AgeGroup","Carbon_Mg_ha","cv_dbh","VPD","Elevation","MAT","MAP","pH_mean","bdod_mean","clay_mean","nitrogen_mean","FDis","PC1.CWM","PC2.CWM","Shade.tolerance.FDis","Drought.tolerance.FDis","WD_mean_add.FDis","LMA.FDis","Nmass.FDis","Pmass.FDis","Leaf.longevity.FDis","Max.height.FDis","Leaf.FDis","Shade.tolerance.CWM","Drought.tolerance.CWM","WD_mean_add.CWM","LMA.CWM","Nmass.CWM","Pmass.CWM","Leaf.longevity.CWM","Max.height.CWM","Leaf.CWM","SITECLCD","treatment_none","treatment_cutting","treatment_site_preparation","treatment_artificial_regeneration","treatment_natural_regeneration","treatment_other_silviculture","years_since_treatment","treatment_history"
1,"Plot_0001",2007,"Conifer Forest",50413,111,-78.346808,36.913267,43,3,75.1262894046368,0.708724828603049,0.70233871,136,13.6,1100,52.6666666666667,149.333333333333,273,173.333333333333,2.68030103461257,-1.63064711481117,0.830729900541795,0.438249879924269,1.04124755901744,0.412344385232047,0.739478475846453,0.951145204823571,0.342654879892358,0.655729806872163,0.634846642360407,1.54180575857347,2.23344827586207,3.55724137931035,0.462758620689655,0.0964836640355409,15.5281147975773,1.22344487524742,16.8586433914812,35.5862068965517,0.482758620689655,4,1,0,0,0,0,0,0,0
2,"Plot_0002",2006,"Conifer Forest",50413,15,-89.935887,33.435237,9,1,25.346891014797,0.265970217044842,0.755053763,90,16.9,1424,56.3333333333333,146.666666666667,352.666666666667,136.333333333333,0.132249457471438,-3.43126566909361,1.96689905759399,0.012614650274694,0.0523547398711812,0.00389514247784895,0.050097747431804,0.0295985969375359,0.0166960583239138,0.036507579813556,0.0396587240422513,0.089467096183823,1.98411764705882,4.47676470588235,0.469852941176471,0.132490968605088,10.408798370725,0.992194313039902,27.8478443048373,34.7794117647059,0.985294117647059,3,0,0,0,1,0,0,8,1
3,"Plot_0003",2006,"Conifer Forest",50413,161,-89.731064,33.955821,6,1,11.8299651813035,0.26990651280536,0.754623656,110,16.4,1436,53.6666666666667,146.333333333333,328.333333333333,137,1.92446361346848,-2.44925655818199,1.78337917513524,0.18625985090637,0.616121551571507,0.314522871888975,0.678062828093306,0.501131233231244,0.173272052224185,0.527226690517847,0.3854670131239,1.29665864296029,2.01244444444444,4.20744444444444,0.482,0.117863291730608,12.1744881407604,1.02764699150209,21.8915831809072,31.75,0.7,4,0,1,0,0,0,0,3,1
4,"Plot_0004",2006,"Conifer Forest",50413,145,-88.937437,34.475398,20,2,39.8950559928562,0.664103608933926,0.727930108,131,15.9,1439,53.6666666666667,148,334,160.666666666667,0.92016691518167,-3.04500881096799,1.83980355953595,0.163610539344744,0.243180181119974,0.175896509550656,0.330835493627401,0.250867561198513,0.222947254129116,0.259929254116625,0.216260257198594,0.609833576936057,2.05518518518518,4.38037037037037,0.476666666666667,0.124677812691134,11.074206789887,1.07025371285304,25.7238705945243,33.6666666666667,0.888888888888889,3,0,1,0,0,0,0,3,1
5,"Plot_0005",2006,"Conifer Forest",50413,159,-88.86199,33.136917,39,3,57.0294124208732,0.92980026594683,0.746021505,170,16.6,1430,52,148.666666666667,333,147.666666666667,1.2280596105152,-2.97243915458206,1.70580410171896,0.305005823719618,0.57560735042693,0.304483156983048,0.346260001650725,0.335438268000111,0.0750861997444923,0.312875748730886,0.167574115112431,0.756069179568682,2.15349206349206,4.20634920634921,0.481428571428571,0.123905113333129,11.3621235075529,1.01577708006279,25.1200232874539,33.9285714285714,0.857142857142857,4,0,1,0,0,0,0,8,1
6,"Plot_0006",2006,"Conifer Forest",50413,101,-89.000724,32.489845,25,2,14.2201231962511,0.238768986889715,0.768682796,140,17.2,1432,53.3333333333333,151.333333333333,314,128.666666666667,0,-3.4877580915281,1.98586702514462,0,0,0,0,0,0,0,0,0,1.99,4.5,0.47,0.133727223400068,10.3295348837209,0.986538461538462,28.1560210855065,35,1,3,1,0,0,0,0,0,0,0
7,"Plot_0007",2006,"Conifer Forest",50413,103,-88.808013,33.26543,18,2,42.0876376891301,0.314816941604992,0.763682796,78,16.9,1407,52,147,335,145.666666666667,0.212139820838538,-3.39629416949131,1.95515698244361,0.0202350141949909,0.0839816309924696,0.00624815287102344,0.0803612155981244,0.0474787660490557,0.0267819535086547,0.0585613853468476,0.0636160992556449,0.143513131307019,1.98047619047619,4.46238095238095,0.469761904761905,0.131725668017719,10.4578662436323,0.995695554445555,27.6570682025182,34.6428571428571,0.976190476190476,2,1,0,0,0,0,0,0,0
8,"Plot_0008",2006,"Conifer Forest",50413,87,-88.369644,33.409241,26,2,95.7714185535073,0.562463381840437,0.778467742,61,16.8,1406,53.6666666666667,151,341.666666666667,153.333333333333,1.85942303347259,-2.49420731337923,1.5793190674284,0.139031949292916,0.668889309674034,0.171229822933444,0.608530735482495,0.620688721387631,0.2678191721261,0.472141174792269,0.44171236517567,1.21777395248279,1.99162162162162,4.13135135135135,0.469459459459459,0.113451509318108,12.5738289085389,1.10903661950993,23.3215967502412,32.9459459459459,0.72972972972973,3,1,0,0,0,0,0,0,0
9,"Plot_0009",2006,"Conifer Forest",50413,95,-88.515254,33.921709,10,1,26.5115205900616,0.142245719707051,0.766451613,62,16.6,1406,54.6666666666667,147,361,147.333333333333,0,-3.4877580915281,1.98586702514462,0,0,0,0,0,0,0,0,0,1.99,4.5,0.47,0.133727223400068,10.3295348837209,0.986538461538462,28.1560210855065,35,1,3,0,0,0,1,0,0,10,1
10,"Plot_0010",2006,"Conifer Forest",50413,95,-88.567709,33.705749,19,2,31.6357502600631,0.219052476694214,0.762930108,75,16.7,1404,51.6666666666667,152,403,142.666666666667,0,-3.4877580915281,1.98586702514462,0,0,0,0,0,0,0,0,0,1.99,4.5,0.47,0.133727223400068,10.3295348837209,0.986538461538462,28.1560210855065,35,1,4,0,1,0,0,0,0,4,1
