"","X.1","X","PLT_CN","INVYR.x","FLDTYPCD","ECO_ID","COUNTYCD.x","LON","LAT","STDAGE","AgeGroup","Carbon_Mg_ha","cv_dbh","VPD","Elevation","MAT","MAP","pH_mean","bdod_mean","clay_mean","nitrogen_mean","FDis","PC1.CWM","PC2.CWM","Shade.tolerance.FDis","Drought.tolerance.FDis","WD_mean_add.FDis","LMA.FDis","Nmass.FDis","Pmass.FDis","Leaf.longevity.FDis","Max.height.FDis","Leaf.FDis","Shade.tolerance.CWM","Drought.tolerance.CWM","WD_mean_add.CWM","LMA.CWM","Nmass.CWM","Pmass.CWM","Leaf.longevity.CWM","Max.height.CWM","Leaf.CWM"
"1",1,1,470086,2018,"Broadleaf Forest",40170,"沖縄県",122.97,24.45,60,4,29.2668342614234,0.243432244101238,0.653951612903226,50,22.9,2467,52,115.666666666667,442.333333333333,342.333333333333,2.29115541428169,0.453352735663314,-0.14615130099027,0.787078176794259,1.16868835684326,0.141179634219075,0.662910102339932,0.771829027619534,0.715297674879937,0.277544699634202,0.32770049177542,5.31321018927753e-16,2.61569093354713,3.1613522529051,0.507745870463941,0.0816025031423941,14.8904502249343,3.36761900525596,12.9205138106562,16.8571428571429,0
"2",2,2,470087,2018,"Broadleaf Forest",40170,"沖縄県",123.01,24.45,65,4,5.19345982921817,0.0544828336785087,0.681854838709677,148,23.3,2423,50.6666666666667,120.333333333333,426,306.333333333333,2.30919880343368,-0.213661230084101,-0.0559155073663016,0.919591872370361,0.630443188129684,0.108090657448979,0.495600971603846,0.773663372880711,1.29202802126251,0.345588655797883,0.342130485021213,6.93889390390723e-17,2.96407453584659,2.60271683784068,0.503916454983923,0.0879296255355235,14.4459888404253,1.76824000586911,9.50253145676393,23.75,0
"3",3,3,470061,2018,"Broadleaf Forest",40170,"沖縄県",128.06,26.62,60,4,20.7835981679479,0.225782795496528,0.686666666666667,52,21.8,2259,50,112.666666666667,375.666666666667,263,2.00578551510889,0.381175396476697,-0.101309281321773,0.888011130262516,0.886391760182304,0.520800606043823,0.243117074460378,0.629311520235089,0.992906723858899,0.588399465674633,0.14597567360905,2.77555756156289e-16,2.98,3.344,0.557711054662379,0.0736701606694651,18.6348642639198,3.02082847431182,15.331545077463,29,0
"4",4,4,470067,2018,"Broadleaf Forest",40170,"沖縄県",128.14,26.65,53,4,45.5566580420291,0.206011926706769,0.709758064516129,104,21.9,2236,49.6666666666667,113,343.333333333333,247.666666666667,1.97545535545862,-0.275438228066031,-0.0265878274821177,0.869895133138677,0.847224329045227,0.128107445865457,0.362643145185384,0.727604979847993,0.963943258154309,0.365945700687084,0.253429988904602,1.38777878078145e-16,2.80867381989231,3.17714428873957,0.505703515541265,0.0958667216412463,11.437788154,3.03042376591667,16.4344755915799,21.6666666666667,0
"5",5,5,470068,2018,"Broadleaf Forest",40170,"沖縄県",128.14,26.69,61,4,54.8711646726161,0.189624242967915,0.673521505376344,83,21.5,2272,51,118.333333333333,352.666666666667,249,2.16596070369476,-0.398648101912771,-0.64388788968871,0.52303207540454,0.466205453514964,0.179374499616288,0.57140460015654,1.01765360052073,0.934296799299089,0.847081053696657,0.461520442554134,5.33389757482956e-16,3.58881541339367,2.75372780836756,0.506632617083741,0.0863017781016692,13.606536929312,2.43895000326357,23.5965442883351,18.3478260869565,0
"6",6,6,420004,2018,"Broadleaf Forest",80440,"長崎県",128.69,32.71,98,5,91.3267162541059,0.169068236419485,0.483924731182796,262,15.2,2382,49.6666666666667,105,381.666666666667,295,1.9659712583824,0.399506548044342,0.418975005649111,0.421696850200605,0.774434818335999,0.347200404029216,0.154485181567001,0.406364126943943,1.04317710522856,0.834432670587067,0.583902694436202,6.77236045021345e-16,2.45562455407799,3.34660910973861,0.525422109324759,0.064362784379711,19.8402012093365,2.02631183482486,20.6497766730042,18,0
"7",7,7,420014,2018,"Broadleaf Forest",80440,"長崎県",128.82,32.71,50,3,83.3140352255571,0.165548887325374,0.492123655913978,202,16,2317,52,108.333333333333,368.333333333333,282.666666666667,1.1217087979738,0.147819915006641,0.646661371603652,0.181832033562532,0.522962317325377,0.469054204427054,0.181298650479869,0.303544585548202,0.254922334767959,0.0765947964185846,0.182252624601074,0.57267071032729,2.36241379310345,3.71367816091954,0.578668275862069,0.0872613376286769,14.8996165615172,3.43220128065517,10.8013535393829,30.3448275862069,0.103448275862069
"8",8,8,460013,2018,"Broadleaf Forest",40170,"鹿児島県",128.93,27.81,57,4,83.3138026545523,0.333482340790088,0.681612903225806,163,21.2,2436,52,123.333333333333,352.666666666667,233.666666666667,2.31622724041022,0.405291932645443,-0.43905415526575,0.918107436279274,0.831573401729908,0.509674378916508,0.33578047565744,0.779944889262275,1.22078659460206,0.632321973388116,0.323811117251823,4.65236315081018e-16,3.17089123494044,3.06887693585887,0.533121558719951,0.0677538378410913,19.4800942103285,2.73471503032503,15.318285799392,26.6952380952381,0
"9",10,10,460018,2018,"Broadleaf Forest",40170,"鹿児島県",128.97,27.77,32,3,66.6407485235022,0.157260508241184,0.642311827956989,328,20.1,2557,49,112,343.333333333333,263,1.03230027020345,-1.88799075138733,0.944206083229946,0.0713555156696936,0.0836275296420899,0.064085164690301,0.648626024903663,0.306828122936466,0.62034929337895,0.188468142535899,0.186158037985383,5.35969736025938e-17,3.54924788369012,2.81064061225022,0.482658984366338,0.225909641121782,11.0470639391216,0.771758711959647,7.67108201503404,15.1379310344828,0
"10",11,11,420026,2018,"Broadleaf Forest",80440,"長崎県",129.07,32.93,60,4,96.2790657634417,0.250784273646145,0.491747311827957,198,16.3,2196,52.3333333333333,99.3333333333333,351,293,2.0313775364284,0.00835016529082602,-1.08884131035286,0.705362982621487,0.408370079694781,0.0382361509343328,0.210027901639398,0.596001652815477,0.972430911272156,0.982643229798714,0.749428681475036,3.1720657846433e-16,3.64714285714286,2.25,0.500087039503904,0.0591797010727229,18.7054707473843,1.82519402586674,24.1478746599521,18.9285714285714,0
